INDEX;EVENT_ID;EVENT_NAME;EVENT_INDEX;PARAGRAPH_ID;PARAGRAPH_INDEX;STRING_ID;STRING_INDEX;TEXT_ORIGINAL;TEXT_TRADUZIDO
0;553BA8DA;FOX_CORNERIA2_001;0;0;0;0;0;Muy bien, chicos.;Muito bem, pessoal.
1;553BA8DA;FOX_CORNERIA2_001;0;0;0;1;1;¡Vamos directos a la ciudad!;Vamos direto para a cidade!
2;4C32F960;FOX_CORNERIA2_002;1;0;0;0;0;¡General Pepper! ¿Me recibe?;General Pepper! Você está me ouvindo?
3;4C32F960;FOX_CORNERIA2_002;1;0;0;1;1;Conteste, por favor...;Responda, por favor...
4;3B35C9F6;FOX_CORNERIA2_003;2;0;0;0;0;Nada de confiarse.;Não podemos baixar a guarda.
5;25515C55;FOX_CORNERIA2_004;3;0;0;0;0;¡General, ¿es usted?!;General, é você?!
6;52566CC3;FOX_CORNERIA2_005;4;0;0;0;0;No lo sé, ¡pero tenemos que vencerlo!;Não, eu sei, mas tenemos que vencê-lo!
7;4B5F3D79;FOX_CORNERIA2_006;5;0;0;0;0;¡Andross!;Andross!
8;3C580DEF;FOX_CORNERIA2_007;6;0;0;0;0;A partir de aquí, me encargaré yo solo.;A partir daqui, eu cuido sozinho.
9;2CE7107E;FOX_CORNERIA2_008;7;0;0;0;0;¡ROB, dime dónde estoy!;ROB, me diga onde estou!
10;5BE020E8;FOX_CORNERIA2_009;8;0;0;0;0;¡Te está bien empleado!;Você mereceu!
11;7278E352;FALCO_CORNERIA2_001;9;0;0;0;0;Esta vez han desplegado;Desta vez, eles trouxeram
12;7278E352;FALCO_CORNERIA2_001;9;0;0;1;1;la artillería pesada...;a artilharia pesada...
13;6B71B2E8;FALCO_CORNERIA2_002;10;0;0;0;0;Voy a adelantarme, Fox. ¡Cúbreme!;Vou avançar, Fox. Me dê cobertura!
14;1C76827E;FALCO_CORNERIA2_003;11;0;0;0;0;No esperaba menos de ti.;Eu não esperava nada menos de você.
15;021217DD;FALCO_CORNERIA2_004;12;0;0;0;0;¡Os vais a enterar!;Vocês vão ver!
16;7515274B;FALCO_CORNERIA2_005;13;0;0;0;0;¡Andross sí que sabe dar una fiesta!;Andross realmente sabe dar uma festa!
17;6C1C76F1;FALCO_CORNERIA2_006;14;0;0;0;0;¡Se van a enterar esos monos;Esses macacos vão descobrir
18;6C1C76F1;FALCO_CORNERIA2_006;14;0;0;1;1;de quién manda aquí!;quem manda aqui!
19;1B1B4667;FALCO_CORNERIA2_007;15;0;0;0;0;¡Hay que cargárselos a todos!;Temos que acabar com todos eles!
